semel,ballot,lat,lng,coord_src,stat95,valid
7,10,,,single,7001,254
10,10,,,single,10001,194
11,10,,,single,11001,161
13,10,,,single,13001,274
15,10,,,single,15001,223
16,10,,,single,16001,156
18,10,,,single,18001,200
23,10,,,single,23001,67
24,10,,,single,24001,290
26,10,32.9686208,35.5499206,k17_join,26001,402
26,20,32.9686208,35.5499206,k17_join,26001,360
26,30,32.9686208,35.5499206,k17_join,26001,410
27,10,,,single,27001,129
28,10,,,single,28001,560
28,20,,,single,28001,570
28,30,,,single,28001,419
28,40,,,single,28001,533
28,50,,,single,28001,424
28,60,,,single,28001,570
28,70,,,single,28001,452
29,10,,,single,29001,587
31,10,31.3204066,34.6187014,k17_join,31002,252
31,20,31.3124187,34.6170442,k17_join,31002,317
31,30,31.3155193,34.6181034,k17_join,31002,321
31,40,31.3124187,34.6170442,k17_join,31002,313
31,50,31.3186659,34.6170074,k17_join,31002,267
31,60,31.3121587,34.6193726,k17_join,31003,292
31,70,31.3121587,34.6193726,k17_join,31003,434
31,80,31.3121587,34.6193726,k17_join,31003,426
31,90,31.3124187,34.6170442,k17_join,31002,318
31,100,31.3052292,34.6168014,k17_join,31006,471
31,110,31.3052292,34.6168014,k17_join,31006,575
31,120,31.3052292,34.6168014,k17_join,31006,649
31,130,31.3082939,34.6263004,k17_join,31004,481
31,140,31.3052292,34.6168014,k17_join,31006,501
31,150,31.3052292,34.6168014,k17_join,31006,515
31,160,31.3155193,34.6181034,k17_join,31002,453
31,170,31.3186659,34.6170074,k17_join,31002,426
31,180,31.3186659,34.6170074,k17_join,31002,342
31,190,31.3124187,34.6170442,k17_join,31002,386
31,200,31.3010918,34.6248423,k17_join,31006,382
31,210,31.3060159,34.6212855,k17_join,31006,284
31,220,31.3060159,34.6212855,k17_join,31006,429
31,230,31.3010918,34.6248423,k17_join,31006,259
31,250,31.3186659,34.6170074,k17_join,31002,373
31,260,31.3121587,34.6193726,k17_join,31003,208
32,10,,,single,32001,282
33,10,,,single,33001,172
35,10,,,single,35001,215
36,10,,,single,36001,203
37,10,,,single,37001,214
39,10,,,single,39001,172
41,10,,,single,41001,399
41,20,,,single,41001,475
41,30,,,single,41001,441
43,10,,,single,43001,339
43,20,,,single,43001,375
44,10,,,single,44001,176
46,10,,,single,46001,399
46,20,,,single,46001,401
46,30,,,single,46001,419
47,10,,,single,47001,404
47,20,,,single,47001,398
47,30,,,single,47001,369
48,10,,,single,48001,306
48,20,,,single,48001,311
49,10,,,single,49001,237
50,10,,,single,50001,418
50,20,,,single,50001,462
50,30,,,single,50001,384
52,10,,,single,52001,155
53,10,,,single,53001,359
53,20,,,single,53001,307
53,30,,,single,53001,495
53,40,,,single,53001,559
53,50,,,single,53001,426
55,10,,,single,55001,193
57,10,,,single,57001,400
58,10,,,single,58001,86
59,10,,,single,59001,103
62,10,,,single,62001,317
63,10,,,single,63001,269
64,10,,,single,64001,404
65,10,,,single,65001,284
65,20,,,single,65001,309
66,10,,,single,66001,364
67,10,,,single,67001,216
69,10,,,single,69001,249
70,10,31.8125649,34.6459036,k17_join,70111,307
70,20,31.8034685,34.6408315,k17_join,70244,353
70,30,31.8087015,34.6445769,k17_join,70111,365
70,40,31.8040271,34.6458353,k17_join,70113,351
70,50,31.8125649,34.6459036,k17_join,70111,384
70,60,31.8087015,34.6445769,k17_join,70111,426
70,70,31.8125649,34.6459036,k17_join,70111,394
70,80,31.809388,34.6488298,k17_join,70112,200
70,90,31.8054498,34.6586675,k17_join,70123,410
70,100,31.8086981,34.6540381,k17_join,70123,311
70,110,31.8067364,34.6556645,k17_join,70123,406
70,120,31.8023552,34.6541197,k17_join,70122,320
70,130,31.7977314,34.6529922,k17_join,70231,359
70,140,31.8059253,34.6503122,k17_join,70121,370
70,150,31.8042864,34.6504874,k17_join,70121,425
70,160,31.7959019,34.6561088,k17_join,70223,311
70,170,31.809388,34.6488298,k17_join,70112,339
70,180,31.8019409,34.6640555,k17_join,70134,392
70,190,31.8040271,34.6458353,k17_join,70113,417
70,200,31.809388,34.6488298,k17_join,70112,363
70,210,31.7974812,34.6512344,k17_join,70231,476
70,220,31.8067364,34.6556645,k17_join,70123,354
70,230,31.8097617,34.6472145,k17_join,70111,302
70,240,31.7930432,34.6590841,k17_join,70222,362
70,250,31.7962168,34.6542432,k17_join,70223,338
70,260,31.7940108,34.6567111,k17_join,70223,427
70,270,31.8087015,34.6445769,k17_join,70111,437
70,280,31.8097617,34.6472145,k17_join,70111,271
70,290,31.7977314,34.6529922,k17_join,70231,381
70,300,31.8029048,34.6603894,k17_join,70135,550
70,310,31.8029048,34.6603894,k17_join,70135,319
70,320,31.8019409,34.6640555,k17_join,70134,420
70,330,31.8029048,34.6603894,k17_join,70135,373
70,340,31.8019409,34.6640555,k17_join,70134,356
70,350,31.8019409,34.6640555,k17_join,70134,266
70,360,31.8125649,34.6459036,k17_join,70111,327
70,370,31.8019409,34.6640555,k17_join,70134,250
70,380,31.8087015,34.6445769,k17_join,70111,302
70,390,31.8086981,34.6540381,k17_join,70123,306
70,400,31.8040271,34.6458353,k17_join,70113,401
70,410,31.8086981,34.6540381,k17_join,70123,362
70,420,31.8040271,34.6458353,k17_join,70113,376
70,430,31.8086981,34.6540381,k17_join,70123,327
70,440,31.8019409,34.6640555,k17_join,70134,471
70,450,31.8034685,34.6408315,k17_join,70244,348
70,460,31.7959006,34.6416486,k17_join,70242,384
70,470,31.7930432,34.6590841,k17_join,70222,378
70,480,31.7930432,34.6590841,k17_join,70222,325
70,490,31.7962168,34.6542432,k17_join,70223,405
70,500,31.7962168,34.6542432,k17_join,70223,328
70,510,31.7930432,34.6590841,k17_join,70222,453
70,520,31.7930432,34.6590841,k17_join,70222,311
70,530,31.7962468,34.6498363,k17_join,70231,547
70,540,31.7950076,34.6462743,k17_join,70232,276
70,550,31.7962468,34.6498363,k17_join,70231,427
70,560,31.7950076,34.6462743,k17_join,70232,500
70,570,31.7950076,34.6462743,k17_join,70232,403
70,580,31.7976767,34.6628657,k17_join,70136,495
70,590,31.7976767,34.6628657,k17_join,70136,448
70,600,31.8029048,34.6603894,k17_join,70135,481
70,610,31.8042864,34.6504874,k17_join,70121,355
70,620,31.7976767,34.6628657,k17_join,70136,539
70,630,31.7976767,34.6628657,k17_join,70136,346
70,640,31.7962468,34.6498363,k17_join,70231,478
70,650,31.7962468,34.6498363,k17_join,70231,496
70,660,31.7975184,34.6455291,k17_join,70232,478
70,670,31.8000542,34.648899,k17_join,70233,417
70,680,31.7979912,34.6416305,k17_join,70243,397
70,690,31.8019409,34.6640555,k17_join,70134,479
70,700,31.7962168,34.6542432,k17_join,70223,223
70,710,31.7962168,34.6542432,k17_join,70223,267
70,720,31.7940108,34.6567111,k17_join,70223,295
70,730,31.7940108,34.6567111,k17_join,70223,176
70,740,31.7940108,34.6567111,k17_join,70223,323
