semel,ballot,valid,stat22
1220,1,150,12200001
113,1,180,1130001
278,1,276,2780001
1157,1,145,11570001
338,1,40,3380001
1316,1,84,13160001
330,1,205,3300001
868,1,23,8680001
4002,1,219,40020001
1125,1,231,11250001
1253,1,219,12530001
23,1,103,230001
4301,1,174,43010001
70,1.1,241,700511
70,1.2,187,700511
70,1.3,229,700511
70,1.4,153,700511
70,2.1,295,700122
70,2.2,273,700122
70,2.3,308,700122
70,2.4,281,700122
70,2.5,268,700122
70,4,243,700126
70,8,148,700511
70,9,267,700133
70,10,216,700133
70,11,255,700133
70,13.1,245,700132
70,13.2,265,700132
70,14,219,700133
70,15,248,700511
70,17,275,700511
70,19,191,700126
70,20.1,191,700125
70,20.2,166,700125
70,21,330,700513
70,22,219,700133
70,24.1,294,700221
70,24.2,335,700221
70,24.3,337,700221
70,24.4,305,700221
70,24.5,303,700221
70,25.1,305,700223
70,25.2,288,700223
70,25.3,291,700223
70,25.4,283,700223
70,25.5,312,700223
70,26,310,700223
70,27.1,264,700123
70,27.2,246,700123
70,28,220,700125
70,30,515,700143
70,31.1,341,700143
70,31.2,413,700143
70,31.3,352,700143
70,37.1,339,700142
70,37.2,362,700142
70,37.3,371,700142
70,37.4,329,700142
70,39,205,700133
70,40,186,700126
70,41,213,700133
70,42,211,700126
70,43,229,700133
70,45,335,700514
70,46,269,700522
70,48,253,700222
70,49,356,700222
70,53.1,368,700514
70,53.2,306,700514
70,53.3,358,700514
70,53.4,335,700514
70,53.5,346,700514
70,53.6,305,700514
70,54.1,375,700513
70,54.2,339,700513
70,54.3,358,700513
70,54.4,348,700513
70,54.5,350,700513
70,54.6,332,700513
70,55.1,301,700511
70,55.2,280,700511
70,55.3,294,700511
70,55.4,298,700511
70,55.5,264,700511
70,58,297,700146
70,59,281,700146
70,61,202,700511
70,62,331,700143
70,63,374,700146
70,66,369,700513
70,68,339,700523
70,71,249,700222
70,72,230,700223
70,73,252,700222
70,74,324,700223
70,80,252,700513
70,81,367,700513
70,82.1,323,700522
70,82.2,314,700522
70,82.3,336,700522
70,88,240,700522
70,89.1,357,700511
70,89.2,343,700511
70,89.3,361,700511
70,89.4,360,700511
70,89.5,338,700511
70,90,341,700514
70,91.1,373,700523
70,91.2,379,700523
70,91.3,311,700523
70,91.4,378,700523
70,91.5,359,700523
70,91.6,373,700523
70,92,367,700514
70,93,331,700522
70,94,260,700611
70,95,287,700611
70,97,245,700611
70,99.1,392,700613
70,99.2,416,700613
70,99.3,408,700613
70,100,298,700514
70,109.1,365,700722
70,109.2,383,700722
70,109.3,376,700722
70,109.4,379,700722
70,109.5,342,700722
70,114.1,344,700721
70,114.2,340,700721
70,114.3,331,700721
70,114.4,310,700721
70,119.1,343,700722
70,119.2,354,700722
70,119.3,370,700722
70,119.4,351,700722
70,120.1,347,700722
70,120.2,374,700722
70,120.3,372,700722
70,120.4,349,700722
70,120.5,349,700722
70,124,310,700432
70,125,333,700622
70,126,348,700432
70,127,428,700622
70,128,351,700622
70,129,395,700622
70,130,309,700622
70,131,356,700632
70,132,372,700632
70,133,336,700632
70,134.1,353,700633
70,134.2,339,700633
70,134.3,313,700633
70,134.4,342,700633
70,138,351,700633
70,142.1,374,700411
70,142.2,350,700411
70,142.3,399,700411
70,143.1,386,700411
70,143.2,368,700411
70,143.3,377,700411
70,143.4,389,700411
70,147.1,290,700413
70,147.2,302,700413
70,147.3,316,700413
70,147.4,304,700413
70,150.1,343,700411
70,150.2,362,700411
70,150.3,347,700411
70,150.4,357,700411
70,150.5,333,700411
70,151,315,700632
70,152,389,700633
70,154,396,700633
70,155.1,236,700633
70,155.2,216,700633
70,158,358,700633
70,159.1,385,700612
70,159.2,370,700612
70,160.1,249,700144
70,160.2,245,700144
70,160.3,246,700144
70,160.4,260,700144
70,163,438,700322
70,164,382,700322
70,166.1,372,700322
70,166.2,339,700322
70,166.3,337,700322
70,166.4,339,700322
70,166.5,327,700322
70,168,380,700322
70,188,369,700322
70,189,307,700622
70,190,358,700432
70,191,409,700622
70,192,370,700622
70,193,306,700432
70,194,364,700622
70,197,360,700611
70,199.1,429,700432
70,199.2,416,700432
70,199.3,427,700432
70,199.4,373,700432
70,199.5,412,700432
70,203.1,408,700432
70,203.2,388,700432
70,203.3,412,700432
70,203.4,416,700432
70,203.5,416,700432
70,203.6,409,700432
70,207.1,378,700511
70,207.2,343,700511
70,207.3,333,700511
70,211.1,327,700146
70,211.2,378,700146
70,211.3,348,700146
70,211.4,358,700146
70,211.5,363,700146
70,211.6,389,700146
70,212,452,700142
70,213,189,700146
70,214.1,283,700123
70,214.2,280,700123
70,214.3,252,700123
70,220.1,427,700711
70,220.2,423,700711
70,220.3,409,700711
70,220.4,429,700711
70,220.5,415,700711
70,220.6,418,700711
70,222,300,700411
70,225,460,700714
70,227.1,404,700322
70,227.2,376,700322
70,227.3,355,700322
70,227.4,369,700322
70,227.5,373,700322
70,227.6,378,700322
70,228.1,361,700322
70,228.2,348,700322
70,228.3,321,700322
70,228.4,353,700322
70,228.5,364,700322
70,231,363,700322
70,234,389,700322
70,236,338,700513
70,237.1,383,700323
70,237.2,337,700323
70,237.3,344,700323
70,237.4,316,700323
70,237.5,337,700323
70,244,419,700714
70,245,454,700714
70,246.1,330,700612
70,246.2,398,700612
70,246.3,340,700612
70,246.4,368,700612
70,246.5,385,700612
70,246.6,396,700612
70,248,151,700133
70,250,206,700126
70,251,392,700432
70,253,409,700143
70,264,393,700322
70,265.1,411,700212
70,265.2,440,700212
70,265.3,409,700212
70,265.4,418,700212
70,265.5,427,700212
70,265.6,435,700212
70,265.7,421,700212
70,276.1,435,700411
70,276.2,412,700411
70,276.3,403,700411
70,276.4,441,700411
70,276.5,385,700411
70,276.6,410,700411
70,277.1,391,700434
70,277.2,398,700434
70,277.3,430,700434
70,277.4,396,700434
70,277.5,389,700434
70,279.1,383,700122
70,279.2,349,700122
70,279.3,333,700122
70,279.4,337,700122
70,279.5,358,700122
70,279.6,365,700122
70,281.1,442,700423
70,281.2,425,700423
70,281.3,409,700423
70,281.4,441,700423
70,281.5,448,700423
70,281.6,428,700423
70,281.7,441,700423
70,283.1,365,700723
70,283.2,370,700723
70,283.3,336,700723
70,283.4,344,700723
70,283.5,330,700723
70,283.6,323,700723
70,285,203,700133
70,286.1,405,700212
70,286.2,440,700212
70,286.3,428,700212
70,286.4,449,700212
70,286.5,437,700212
70,286.6,431,700212
70,286.7,450,700212
70,286.8,416,700212
70,290,321,700432
70,291,346,700611
70,292,329,700611
70,294.1,336,700221
70,294.2,373,700221
70,294.3,368,700221
70,294.4,356,700221
70,294.5,360,700221
70,296.1,401,700214
70,296.2,425,700214
70,296.3,421,700214
70,296.4,411,700214
70,296.5,427,700214
70,296.6,437,700214
70,300.1,288,700141
70,300.2,310,700141
70,300.3,334,700141
70,300.4,327,700141
70,301,426,700714
70,306,382,700622
70,953,443,700322
70,954,430,700714
70,990.1,110,700132
70,990.2,121,700132
2021,1,59,20210001
7100,1,187,71000211
7100,2,294,71000211
7100,4.1,313,71000424
7100,4.2,330,71000424
7100,4.3,358,71000424
7100,4.4,313,71000424
7100,4.5,296,71000424
7100,5.1,358,71000212
7100,5.2,342,71000212
7100,5.3,380,71000212
7100,5.4,386,71000212
7100,5.5,397,71000212
7100,5.6,374,71000212
7100,5.7,353,71000212
7100,6,370,71000211
7100,7,273,71000222
7100,8,377,71000222
7100,9,302,71000223
7100,13,370,71000243
7100,15.1,371,71000242
7100,15.2,381,71000242
7100,15.3,388,71000242
7100,15.4,389,71000242
7100,15.5,373,71000242
7100,17,222,71000225
7100,18.1,417,71000243
7100,18.2,384,71000243
7100,18.3,412,71000243
7100,18.4,388,71000243
7100,21,401,71000243
7100,22,344,71000243
7100,26.1,310,71000316
7100,26.2,310,71000316
7100,27,226,71000314
7100,28,177,71000313
7100,29,219,71000314
7100,30,213,71000316
7100,32,230,71000316
7100,33.1,283,71000316
7100,33.2,296,71000316
7100,33.3,256,71000316
7100,34,218,71000316
7100,35,255,71000316
7100,37.1,246,71000313
7100,37.2,207,71000313
7100,38,230,71000316
7100,39.1,277,71000313
7100,39.2,290,71000313
7100,40.1,426,71000111
7100,40.2,396,71000111
7100,40.3,399,71000111
7100,41.1,431,71000215
7100,41.2,398,71000215
7100,41.3,418,71000215
7100,41.4,445,71000215
7100,41.5,404,71000215
7100,41.6,396,71000215
7100,43,355,71000123
7100,44.1,291,71000122
7100,44.2,275,71000122
7100,44.3,304,71000122
7100,44.4,285,71000122
7100,44.5,251,71000122
7100,50.1,378,71000423
7100,50.2,368,71000423
7100,52.1,335,71000123
7100,52.2,308,71000123
7100,52.3,305,71000123
7100,52.4,315,71000123
7100,53,223,71000423
7100,54,234,71000113
7100,55.1,296,71000322
7100,55.2,311,71000322
7100,55.3,286,71000322
7100,56.1,371,71000322
7100,56.2,334,71000322
7100,56.3,341,71000322
7100,56.4,330,71000322
7100,58,334,71000323
7100,60,264,71000313
7100,61.1,275,71000314
7100,61.2,275,71000314
7100,61.3,254,71000314
7100,63,358,71000323
7100,64.1,321,71000323
7100,64.2,343,71000323
7100,64.3,313,71000323
7100,64.4,321,71000323
7100,64.5,330,71000323
7100,64.6,337,71000323
7100,68,295,71000314
7100,72.1,284,71000423
7100,72.2,279,71000423
7100,72.3,320,71000423
7100,72.4,266,71000423
7100,73,133,71000114
7100,78,248,71000113
7100,80,297,71000322
7100,81.1,327,71000311
7100,81.2,336,71000311
7100,81.3,355,71000311
7100,83,299,71000311
7100,84,277,71000311
7100,85,220,71000311
7100,86,212,71000323
7100,87.1,362,71000122
7100,87.2,358,71000122
7100,87.3,325,71000122
7100,90,321,71000221
7100,91,316,71000223
7100,92,295,71000221
7100,93,242,71000221
7100,94,314,71000223
7100,100,465,71000211
7100,101.1,393,71000423
7100,101.2,382,71000423
7100,101.3,394,71000423
7100,101.4,363,71000423
7100,103.1,379,71000426
7100,103.2,408,71000426
7100,104.1,266,71000212
7100,104.2,263,71000212
7100,104.3,265,71000212
7100,105.1,303,71000232
7100,105.2,301,71000232
7100,105.3,324,71000232
7100,105.4,314,71000232
7100,105.5,292,71000232
7100,107,316,71000225
7100,114,405,71000123
7100,115,443,71000123
7100,117.1,374,71000111
7100,117.2,336,71000111
7100,117.3,365,71000111
7100,117.4,347,71000111
7100,117.5,337,71000111
7100,123,398,71000122
7100,124.1,332,71000232
7100,124.2,360,71000232
7100,124.3,334,71000232
7100,124.4,304,71000232
7100,124.5,328,71000232
7100,127,228,71000314
7100,128,305,71000311
7100,130.1,225,71000113
7100,130.2,214,71000113
7100,131.1,215,71000111
7100,131.2,195,71000112
7100,132,417,71000114
7100,133,415,71000114
7100,139.1,403,71000225
7100,139.2,393,71000225
7100,139.3,395,71000225
7100,139.4,392,71000225
7100,139.5,393,71000225
7100,139.6,403,71000225
7100,141,207,71000313
7100,142,413,71000123
7100,148,365,71000221
7100,149.1,398,71000423
7100,149.2,395,71000423
7100,149.3,429,71000423
7100,149.4,407,71000423
7100,149.5,385,71000423
7100,151.1,446,71000412
7100,151.2,448,71000412
7100,151.3,454,71000412
7100,157,405,71000414
7100,159,455,71000414
7100,160,409,71000211
7100,161.1,417,71000426
7100,161.2,440,71000426
7100,161.3,427,71000426
7100,161.4,437,71000426
7100,161.5,426,71000426
7100,161.6,421,71000426
7100,166.1,371,71000421
7100,166.2,377,71000421
7100,166.3,395,71000421
7100,166.4,370,71000421
7100,166.5,371,71000421
7100,168,343,71000123
7100,170.1,418,71000415
7100,170.2,431,71000415
7100,170.3,440,71000415
7100,170.4,456,71000415
7100,170.5,443,71000415
7100,170.6,417,71000415
7100,170.7,419,71000415
7100,170.8,398,71000415
7100,170.9,431,71000415
7100,186,360,71000112
7100,188.1,401,71000312
7100,188.2,402,71000312
7100,188.3,384,71000312
7100,188.4,396,71000312
7100,188.5,373,71000312
7100,188.6,350,71000312
7100,952.1,211,71000114
7100,952.2,204,71000114
317,1,224,3170001
619,1,224,6190001
353,1,64,3530001
202,1,191,2020001
212,1,31,2120001
848,1,231,8480001
141,1,201,1410001
2014,1,237,20140001
207,1,243,2070001
442,1,231,4420001
196,1,227,1960001
1043,1,122,10430001
218,1,173,2180001
4022,1,151,40220001
146,1,143,1460001
1261,1,89,12610001
464,1,119,4640001
1133,1,143,11330001
2064,1,229,20640001
3717,1,130,37170001
6700,2,280,67000012
6700,3.1,396,67000012
6700,3.2,362,67000012
6700,3.3,403,67000012
6700,3.4,379,67000012
6700,3.5,368,67000012
6700,5.1,413,67000024
6700,5.2,426,67000024
6700,5.3,378,67000024
6700,11.1,165,67000012
6700,11.2,148,67000012
6700,12,176,67000013
6700,15,300,67000022
6700,16,199,67000024
6700,18,339,67000024
6700,19,307,67000015
6700,20,190,67000015
6700,23,206,67000022
6700,24,271,67000013
6700,25,302,67000022
6700,26,196,67000024
6700,28,174,67000024
6700,29,245,67000022
6700,30,330,67000031
6700,31,292,67000031
6700,32,308,67000036
6700,33,272,67000036
6700,34,312,67000033
6700,35,288,67000015
6700,36,378,67000033
6700,37,276,67000015
6700,38.1,347,67000025
6700,38.2,335,67000025
6700,38.3,345,67000025
6700,38.4,336,67000025
6700,39,361,67000031
6700,40.1,247,67000034
6700,40.2,258,67000034
6700,40.3,232,67000034
6700,42,279,67000034
6700,44,320,67000033
6700,45,265,67000033
6700,46,325,67000034
6700,48,323,67000033
6700,49.1,304,67000011
6700,49.2,293,67000011
6700,49.3,308,67000011
6700,49.4,305,67000011
6700,49.5,314,67000011
6700,49.6,272,67000011
6700,50.1,297,67000011
6700,50.2,304,67000011
6700,50.3,280,67000011
6700,52.1,307,67000022
6700,52.2,289,67000022
6700,52.3,310,67000022
6700,52.4,271,67000022
6700,52.5,275,67000022
6700,53.1,355,67000024
6700,53.2,350,67000024
6700,53.3,341,67000024
6700,55,165,67000022
6700,56,230,67000031
6700,57,342,67000037
6700,59,433,67000024
6700,60,257,67000021
1214,1,204,12140001
1134,1,121,11340001
183,1,231,1830001
1229,1,139,12290001
4028,1,238,40280001
859,1,207,8590001
106,1,135,1060001
310,1,220,3100001
254,1,218,2540001
107,1,36,1070001
1166,1,156,11660001
1094,1,124,10940001
1374,1,254,13740001
3656,1,227,36560001
1230,1,239,12300001
1173,1,91,11730001
102,1,56,1020001
1141,1,95,11410001
3561,1,165,35610001
1411,1,102,
1413,1,104,
1415,1,148,
1414,1,68,
776,1,245,7760001
1128,1,186,11280001
4019,1,90,40190001
2044,1,205,20440001
678,1,208,6780001
3657,1,206,36570001
58,1,85,580001
22,1,115,220001
3724,1,139,37240001
1259,1,178,12590001
15,1,217,150001
833,1,101,8330001
1369,1,246,13690001
1372,1,228,13720001
942,1,51,9420001
794,1,232,7940001
3658,1,256,36580001
156,1,41,1560001
1320,1,96,13200001
750,1,238,7500001
1104,1,167,11040001
3723,1,196,37230001
281,1,256,2810001
774,1,216,7740001
766,1,155,7660001
1260,1,224,12600001
27,1,183,270001
1031,1.1,265,10310005
1031,1.2,253,10310005
1031,2.1,241,10310006
1031,2.2,246,10310006
1031,3,299,10310010
1031,4.1,233,10310004
1031,4.2,237,10310004
1031,5.1,326,10310002
1031,5.2,295,10310002
1031,6.1,203,10310010
1031,6.2,186,10310010
1031,7.1,349,10310009
1031,7.2,318,10310009
1031,7.3,322,10310009
1031,7.4,299,10310009
1031,9,221,10310010
1031,11,312,10310010
1031,15,401,10310007
1031,19,337,10310010
1031,20,244,10310006
1031,21.1,314,10310004
1031,21.2,341,10310004
1031,21.3,295,10310004
1031,21.4,318,10310004
1031,21.5,294,10310004
1031,21.6,297,10310004
1031,21.7,327,10310004
1031,23.1,357,10310005
1031,23.2,368,10310006
1031,23.3,327,10310007
1031,24,391,10310007
1031,26.1,373,10310006
1031,26.2,373,10310006
1031,26.3,377,10310006
1031,26.4,347,10310006
1031,27.1,249,10310006
1031,27.2,277,10310006
1031,28,406,10310007
1031,29,285,10310006
1031,32,434,10310005
1031,34,364,10310002
415,1,215,4150001
865,1,190,8650001
1233,1,252,12330001
398,1,188,3980001
2062,1,191,20620001
1083,1,258,10830001
10,1,227,100001
719,1,226,7190001
2003,1.1,254,20030001
2003,1.2,271,20030001
3759,1,183,37590001
31,1,193,310002
31,2,291,310003
31,3,261,310006
31,4,299,310002
31,5,194,310002
31,6.1,270,310002
31,6.2,259,310002
31,6.3,247,310002
31,7,256,310003
31,9,315,310002
31,10,448,310007
31,11.1,490,310006
31,11.2,470,310006
31,11.3,481,310006
31,13,321,310004
31,15.1,306,310006
31,15.2,301,310006
31,15.3,304,310006
31,16.1,213,310008
31,16.2,196,310008
31,16.3,198,310008
31,20.1,236,310008
31,20.2,232,310008
31,22.1,430,310003
31,22.2,414,310003
31,22.3,434,310003
31,22.4,398,310003
31,22.5,412,310008
31,23.1,385,310007
31,23.2,330,310007
31,25.1,318,310008
31,25.2,304,310008
31,25.3,283,310008
31,26,255,310003
31,28,401,310007
31,30,440,310004
31,35.1,210,310006
31,35.2,225,310006
31,38.1,355,310008
31,38.2,344,310008
31,38.3,364,310008
31,38.4,345,310008
31,38.5,329,310008
1294,1,161,12940001
1330,1,354,13300001
1330,3.1,288,13300001
1330,3.2,318,13300001
1330,3.3,312,13300001
2600,1,155,26000021
2600,2,214,26000021
2600,6.1,181,26000016
2600,6.2,193,26000016
2600,6.3,177,26000016
2600,6.4,156,26000016
2600,7.1,245,26000014
2600,7.2,265,26000014
2600,7.3,263,26000014
2600,7.4,241,26000014
2600,8,225,26000025
2600,9.1,213,26000015
2600,9.2,213,26000015
2600,9.3,198,26000015
2600,9.4,192,26000015
2600,9.5,165,26000015
2600,9.6,160,26000015
2600,12,172,26000021
2600,13.1,161,26000024
2600,13.2,197,26000024
2600,13.3,180,26000024
2600,13.4,173,26000024
2600,14,199,26000021
2600,17,59,26000025
2600,19,49,26000025
2600,22,107,26000025
2600,23,216,26000021
2600,26.1,249,26000016
2600,26.2,239,26000011
2600,26.3,239,26000016
2600,26.4,271,26000016
2600,26.5,224,26000016
2600,26.6,232,26000032
2600,27.1,338,26000016
2600,27.2,344,26000016
2600,27.3,327,26000016
2600,27.4,300,26000016
2600,28.1,310,26000024
2600,28.2,304,26000024
2600,28.3,342,26000024
2600,28.4,321,26000024
2600,28.5,310,26000024
2600,32.1,240,26000022
2600,32.2,189,26000022
2600,32.3,211,26000022
2600,32.4,182,26000022
2600,32.5,207,26000022
2600,33.1,233,26000022
2600,33.2,207,26000022
2600,33.3,215,26000022
2600,33.4,175,26000022
2600,34.1,192,26000025
2600,34.2,158,26000025
2600,34.3,125,26000025
2600,41.1,196,26000016
2600,41.2,156,26000016
2600,44.1,204,26000012
2600,44.2,175,26000012
2600,44.3,179,26000012
2600,44.4,146,26000012
2600,44.5,146,26000012
2600,62,159,26000021
2600,63,136,26000021
2600,71.1,250,26000043
2600,71.2,283,26000043
2600,71.3,245,26000043
2600,71.4,260,26000043
2600,71.5,270,26000043
2600,71.6,263,26000043
2600,73.1,296,26000042
2600,73.2,308,26000042
2600,73.3,291,26000042
2600,73.4,293,26000042
2600,73.5,280,26000042
2600,73.6,306,26000042
2600,74.1,345,26000045
2600,74.2,384,26000045
2600,74.3,352,26000045
2600,74.4,356,26000045
2600,74.5,353,26000045
2600,84.1,343,26000046
2600,84.2,312,26000046
2600,84.3,348,26000046
2600,84.4,350,26000046
2600,84.5,309,26000046
2600,84.6,315,26000046
2600,84.7,309,26000046
2600,87,161,26000025
2600,88,291,26000016
37,1,270,370001
478,7.1,241,4780003
478,7.2,245,4780003
478,7.3,217,4780003
478,7.4,230,4780003
478,10,343,4780002
478,13.1,236,4780002
478,13.2,248,4780002
478,13.3,225,4780002
478,13.4,222,4780002
478,13.5,277,4780002
478,13.6,246,4780002
478,14.1,276,4780002
478,14.2,235,4780002
478,14.3,218,4780002
478,14.4,288,4780002
478,14.5,246,4780002
478,14.6,226,4780002
1248,1,69,12480001
1278,1,89,12780001
9000,1,208,90000111
9000,2,218,90000122
9000,3,166,90000122
9000,4,241,90000111
9000,5,193,90000111
9000,6,116,90000113
9000,15,187,90000111
9000,16,183,90000113
9000,19,193,90000113
9000,20,159,90000113
9000,25,202,90000111
9000,26,182,90000113
9000,27,198,90000113
9000,28,208,90000113
9000,29,189,90000113
9000,30,163,90000113
9000,31,212,90000113
9000,142.1,406,90000322
9000,142.2,398,90000322
9000,142.3,389,90000322
9000,142.4,404,90000322
9000,142.5,377,90000322
9000,142.6,358,90000322
9000,147.1,302,90000213
9000,147.2,316,90000213
9000,147.3,319,90000213
9000,147.4,307,90000213
9000,147.5,324,90000213
9000,160.1,362,90000322
9000,160.2,405,90000322
9000,160.3,393,90000322
9000,160.4,375,90000322
9000,160.5,369,90000322
9000,160.6,370,90000322
9000,175,307,90000225
9000,176,312,90000225
9000,180,335,90000226
9000,200,348,90000811
9000,202.1,412,90000811
9000,202.2,409,90000811
9000,203,375,90000811
9000,204,386,90000811
9000,205,365,90000811
9000,207,400,90000625
9000,208,396,90000811
9000,210,298,90000226
9000,213,297,90000225
9000,214,277,90000226
9000,218.1,319,90000213
9000,218.2,293,90000213
9000,218.3,281,90000213
9000,218.4,327,90000213
9000,221.1,290,90000312
9000,221.2,278,90000312
9000,221.3,290,90000312
9000,243,273,90000225
9000,251,359,90000226
9000,252.1,319,90000213
9000,252.2,290,90000213
9000,252.3,305,90000213
9000,252.4,271,90000213
9000,257,335,90000226
9000,260.1,404,90000625
9000,260.2,393,90000625
9000,274,355,90000625
9000,276.1,448,90000812
9000,276.2,435,90000812
9000,276.3,450,90000812
9000,276.4,449,90000812
9000,276.5,443,90000812
9000,276.6,410,90000812
9000,277,350,90000811
9000,281.1,442,90000824
9000,281.2,444,90000824
9000,281.3,447,90000824
9000,281.4,415,90000824
9000,281.5,456,90000824
9000,284.1,430,90000823
9000,284.2,431,90000823
9000,284.3,485,90000823
9000,284.4,440,90000823
9000,284.5,447,90000823
9000,298.1,393,90000313
9000,298.2,380,90000313
9000,298.3,381,90000313
9000,298.4,376,90000313
9000,298.5,380,90000313
9000,298.6,361,90000313
9000,302.1,380,90000822
9000,302.2,393,90000822
9000,302.3,423,90000822
9000,302.4,398,90000822
9000,302.5,409,90000822
9000,302.6,395,90000822
9000,304.1,337,90000821
