stat95,code,votes
7001,אמת,65
7001,ג,3
7001,זך,9
7001,טב,5
7001,כן,82
7001,ל,6
7001,מחל,29
7001,מרצ,8
7001,פץ,1
7001,ק,1
7001,קז,1
7001,קנ,1
7001,רק,1
7001,שס,26
10001,אמת,10
10001,זך,2
10001,טב,31
10001,כן,6
10001,ל,3
10001,מחל,26
10001,פ,1
10001,קנ,1
10001,שס,96
11001,אמת,62
11001,ג,1
11001,זך,14
11001,חץ,1
11001,טב,6
11001,כן,42
11001,ל,7
11001,מחל,25
11001,מרצ,7
11001,קנ,3
11001,רק,3
11001,שס,2
13001,אמת,53
13001,זה,1
13001,זך,24
13001,טב,14
13001,יש,1
13001,כ,1
13001,כן,111
13001,ל,18
13001,מחל,9
13001,מרצ,27
13001,פ,11
13001,פץ,2
13001,ק,1
13001,קנ,6
13001,רק,14
13001,שס,5
15001,אמת,17
15001,ג,6
15001,זך,3
15001,טב,25
15001,כן,18
15001,ל,9
15001,מחל,37
15001,נץ,1
15001,קנ,1
15001,שס,71
16001,אמת,44
16001,זך,5
16001,טב,1
16001,כן,35
16001,מרצ,76
16001,קנ,5
16001,רק,2
16001,שס,1
18001,אמת,53
18001,ג,1
18001,ד,1
18001,זך,17
18001,חץ,1
18001,טב,2
18001,כן,68
18001,ל,12
18001,מחל,15
18001,מרצ,13
18001,פ,4
18001,פץ,1
18001,קנ,4
18001,רק,4
18001,שס,3
23001,אמת,6
23001,זך,15
23001,כן,26
23001,ל,5
23001,מחל,11
23001,מרצ,8
23001,קנ,1
23001,רק,4
24001,אמת,129
24001,ד,1
24001,זך,10
24001,חץ,2
24001,טב,5
24001,כן,91
24001,ל,6
24001,מחל,12
24001,מרצ,37
24001,נץ,1
24001,פ,4
24001,ק,1
24001,רק,3
24001,שס,1
26001,אמת,366
26001,ד,2
26001,ו,5
26001,זה,1
26001,זך,92
26001,טב,70
26001,יש,1
26001,כן,350
26001,ל,35
26001,מחל,69
26001,מרצ,108
26001,פ,11
26001,קנ,42
26001,רק,25
26001,שס,28
26001,ג,7
26001,כ,11
26001,ק,1
26001,חץ,1
26001,נץ,1
26001,פץ,1
27001,אמת,47
27001,זך,1
27001,טב,3
27001,יש,1
27001,כ,1
27001,כן,13
27001,ל,7
27001,מחל,8
27001,שס,58
28001,אמת,866
28001,זך,329
28001,טב,192
28001,יש,4
28001,כ,15
28001,כן,1297
28001,ל,149
28001,מחל,360
28001,מרצ,220
28001,פ,46
28001,פכ,4
28001,קנ,48
28001,רק,82
28001,שס,209
28001,ג,7
28001,ו,3
28001,זה,20
28001,חץ,14
28001,עם,1
28001,צה,2
28001,ק,2
28001,כץ,1
28001,פץ,4
28001,ף,2
28001,קז,1
28001,נץ,1
29001,אמת,151
29001,ג,5
29001,זה,2
29001,זך,51
29001,טב,45
29001,כ,5
29001,כן,237
29001,ל,16
29001,מחל,49
29001,מרצ,28
29001,פ,10
29001,קנ,21
29001,רק,16
29001,שס,3
29001,חץ,1
29001,יש,1
29001,כץ,1
31002,אמת,742
31002,ג,84
31002,טב,184
31002,כ,39
31002,כן,391
31002,ל,762
31002,מחל,380
31002,מרצ,93
31002,פכ,1
31002,קנ,18
31002,רק,12
31002,שס,600
31002,כץ,3
31002,עם,4
31002,קז,7
31002,זך,26
31002,פ,4
31002,פז,9
31002,קפ,1
31002,יש,4
31002,ף,1
31002,ז,2
31002,זה,11
31002,פץ,3
31002,ק,3
31002,ה,1
31002,ד,2
31003,אמת,292
31003,ג,31
31003,זך,10
31003,חץ,3
31003,טב,130
31003,כ,10
31003,כן,113
31003,ל,203
31003,מחל,157
31003,מרצ,23
31003,פז,1
31003,פץ,2
31003,ק,2
31003,קנ,4
31003,שס,245
31003,כץ,1
31003,פ,2
31003,צה,1
31003,קז,4
31003,רק,3
31003,ז,1
31003,זה,1
31003,נץ,1
31003,עם,2
31006,אמת,416
31006,ג,1112
31006,זך,23
31006,טב,238
31006,כ,26
31006,כן,295
31006,ל,536
31006,מחל,341
31006,מרצ,89
31006,שס,1123
31006,פז,2
31006,ק,4
31006,זה,4
31006,חץ,5
31006,יש,5
31006,עם,1
31006,פ,2
31006,פכ,3
31006,קנ,17
31006,נץ,3
31006,רק,8
31006,ו,1
31006,קז,1
31006,פץ,1
31006,ף,1
31006,ד,4
31004,אמת,85
31004,ג,23
31004,זך,10
31004,טב,81
31004,יש,1
31004,כ,5
31004,כן,58
31004,ל,26
31004,מחל,62
31004,מרצ,3
31004,פ,1
31004,קנ,3
31004,רק,2
31004,שס,111
32001,אמת,41
32001,ג,8
32001,זה,1
32001,זך,2
32001,טב,7
32001,יש,1
32001,כן,11
32001,ל,2
32001,מחל,18
32001,רק,2
32001,שס,159
33001,אמת,40
33001,ג,1
33001,ו,3
33001,זה,1
33001,זך,16
33001,טב,16
33001,כ,1
33001,כן,54
33001,ל,14
33001,מחל,12
33001,מרצ,15
33001,עם,1
33001,פ,3
33001,קנ,8
33001,רק,8
33001,שס,3
35001,אמת,91
35001,זך,13
35001,חץ,1
35001,טב,1
35001,יש,1
35001,כן,37
35001,ל,4
35001,מחל,4
35001,מרצ,51
35001,פ,2
35001,פץ,1
35001,קנ,6
35001,רק,4
35001,שס,1
36001,אמת,68
36001,ג,7
36001,זך,2
36001,טב,2
36001,כן,29
36001,ל,5
36001,מחל,21
36001,פ,1
36001,פז,1
36001,פכ,1
36001,ק,1
36001,קנ,1
36001,רק,1
36001,שס,41
37001,אמת,5
37001,ג,3
37001,זך,7
37001,טב,27
37001,כ,2
37001,כן,4
37001,ל,9
37001,מחל,25
37001,פ,1
37001,שס,94
39001,אמת,11
39001,ג,5
39001,ה,1
39001,זך,2
39001,טב,10
39001,כ,6
39001,כן,15
39001,ל,2
39001,מחל,37
39001,שס,52
41001,אמת,185
41001,ג,114
41001,זה,1
41001,זך,42
41001,טב,198
41001,יש,2
41001,כ,5
41001,כן,180
41001,ל,36
41001,מחל,151
41001,מרצ,7
41001,פ,2
41001,צה,1
41001,קנ,8
41001,רק,12
41001,שס,335
41001,פז,1
43001,אמת,199
43001,ג,7
43001,ד,1
43001,זה,1
43001,זך,44
43001,חץ,4
43001,טב,15
43001,כ,3
43001,כן,245
43001,ל,26
43001,מחל,48
43001,מרצ,35
43001,פ,7
43001,ק,1
43001,קנ,20
43001,רק,28
43001,שס,7
43001,ו,1
43001,פץ,1
44001,אמת,48
44001,ג,1
44001,זך,4
44001,טב,1
44001,כן,18
44001,ל,3
44001,מחל,33
44001,מרצ,1
44001,קנ,1
44001,רק,1
44001,שס,59
46001,אמת,109
46001,ג,26
46001,ו,1
46001,זך,61
46001,חץ,4
46001,טב,103
46001,יש,2
46001,כ,24
46001,כן,291
46001,ל,36
46001,מחל,99
46001,מרצ,20
46001,נץ,3
46001,פ,13
46001,קנ,9
46001,קפ,1
46001,רק,15
46001,שס,425
46001,פץ,2
46001,ק,2
46001,כץ,1
47001,אמת,348
47001,ג,4
47001,ו,2
47001,זך,95
47001,חץ,6
47001,טב,55
47001,כ,6
47001,כן,479
47001,ל,53
47001,מחל,75
47001,מרצ,73
47001,פ,12
47001,קנ,24
47001,רק,23
47001,שס,32
47001,ז,1
47001,פכ,2
47001,יש,1
47001,פץ,1
48001,אמת,107
48001,זך,31
48001,טב,35
48001,כ,8
48001,כן,107
48001,ל,30
48001,מחל,61
48001,מרצ,11
48001,נץ,2
48001,פ,6
48001,פץ,3
48001,ק,1
48001,קנ,5
48001,רק,4
48001,שס,140
48001,צה,2
49001,אמת,40
49001,ג,2
49001,זך,17
49001,חץ,1
49001,טב,8
49001,כ,1
49001,כן,79
49001,ל,10
49001,מחל,38
49001,מרצ,9
49001,פ,1
49001,קנ,9
49001,רק,5
49001,שס,11
52001,אמת,55
52001,ג,19
52001,ד,1
52001,טב,2
52001,כ,1
52001,כן,6
52001,ל,2
52001,מחל,11
52001,מרצ,2
52001,שס,50
53001,אמת,373
53001,ג,8
53001,ו,1
53001,זך,109
53001,חץ,1
53001,טב,175
53001,יש,3
53001,כ,18
53001,כן,560
53001,ל,174
53001,מחל,200
53001,מרצ,49
53001,פ,26
53001,קנ,28
53001,רק,21
53001,שס,271
53001,ד,4
53001,ז,2
53001,נץ,1
53001,פכ,2
53001,פץ,1
53001,ק,1
53001,פז,1
55001,אמת,56
55001,ג,1
55001,זך,5
55001,טב,7
55001,כן,35
55001,ל,10
55001,מחל,38
55001,מרצ,2
55001,עם,4
55001,פ,2
55001,ק,1
55001,קז,1
55001,רק,13
57001,אמת,147
57001,ה,1
57001,זך,11
57001,טב,4
57001,כן,142
57001,ל,18
57001,מחל,6
57001,מרצ,22
57001,פ,15
57001,ק,1
57001,קנ,9
57001,רק,8
57001,שס,3
58001,אמת,21
58001,זך,3
58001,טב,1
58001,יש,1
58001,כן,36
58001,ל,4
58001,מחל,4
58001,מרצ,3
58001,פ,2
58001,קנ,1
58001,רק,1
59001,ג,2
59001,זך,1
59001,טב,55
59001,כ,6
59001,כן,1
59001,ל,5
59001,מחל,11
59001,מרצ,1
59001,פ,3
59001,קנ,2
59001,שס,29
62001,אמת,175
62001,ו,1
62001,זך,30
62001,טב,3
62001,כן,54
62001,ל,8
62001,מחל,5
62001,מרצ,34
62001,פ,6
62001,קנ,9
62001,רק,5
62001,שס,1
63001,אמת,64
63001,ג,1
63001,ה,3
63001,זך,14
63001,טב,14
63001,יש,1
63001,כ,2
63001,כן,84
63001,ל,7
63001,מחל,36
63001,מרצ,17
63001,פ,6
63001,קנ,5
63001,רק,8
63001,שס,1
64001,אמת,53
64001,ג,3
64001,זך,25
64001,טב,63
64001,יש,1
64001,כ,4
64001,כן,103
64001,ל,22
64001,מחל,70
64001,מרצ,4
64001,פץ,2
64001,קנ,5
64001,רק,5
64001,שס,66
65001,אמת,32
65001,ג,9
65001,זך,18
65001,טב,35
65001,יש,1
65001,כ,19
65001,כן,97
65001,ל,87
65001,מחל,99
65001,מרצ,8
65001,עם,4
65001,פ,2
65001,קז,1
65001,קנ,3
65001,שס,159
65001,ד,1
66001,אמת,93
66001,זך,5
66001,חץ,2
66001,טב,2
66001,כן,64
66001,ל,9
66001,מחל,6
66001,מרצ,118
66001,נץ,1
66001,עם,1
66001,פ,4
66001,צה,2
66001,קנ,10
66001,רק,5
66001,שס,7
67001,אמת,183
67001,זך,5
67001,טב,1
67001,כן,38
67001,ל,1
67001,מחל,2
67001,מרצ,15
67001,פ,1
67001,קנ,1
67001,רק,3
69001,אמת,76
69001,זה,1
69001,זך,7
69001,כ,1
69001,כן,31
69001,ל,1
69001,מרצ,112
69001,קנ,5
69001,רק,2
70111,אמת,482
70111,ג,57
70111,זך,117
70111,טב,193
70111,כ,14
70111,כן,847
70111,ל,949
70111,מחל,406
70111,מרצ,59
70111,פץ,8
70111,צה,4
70111,קז,16
70111,קנ,26
70111,שס,568
70111,ו,2
70111,זה,26
70111,חץ,6
70111,יש,9
70111,רק,23
70111,נץ,3
70111,ק,15
70111,קפ,1
70111,פ,8
70111,פז,5
70111,ז,2
70111,כץ,2
70111,עם,1
70111,פכ,2
70111,ף,2
70111,ד,4
70111,ה,1
70244,אמת,328
70244,ג,28
70244,זך,119
70244,טב,148
70244,כן,489
70244,ל,114
70244,מחל,148
70244,מרצ,52
70244,פ,14
70244,פז,2
70244,ק,2
70244,קז,5
70244,קנ,23
70244,רק,25
70244,שס,143
70244,ו,1
70244,ז,1
70244,חץ,2
70244,יש,5
70244,כ,5
70244,פכ,1
70244,ד,1
70244,זה,1
70244,נץ,1
70244,עם,1
70113,אמת,110
70113,ג,21
70113,ה,1
70113,ז,3
70113,זה,23
70113,זך,27
70113,חץ,10
70113,טב,71
70113,כן,190
70113,ל,253
70113,מחל,124
70113,מרצ,14
70113,קז,2
70113,קנ,7
70113,קפ,2
70113,רק,8
70113,שס,258
70113,ד,1
70113,ו,1
70113,יש,4
70113,כץ,2
70113,נץ,2
70113,עם,1
70113,פז,1
70113,פכ,1
70113,כ,3
70113,פ,1
70113,ק,1
70112,אמת,82
70112,ג,17
70112,ה,1
70112,זה,13
70112,זך,15
70112,חץ,5
70112,טב,24
70112,כ,2
70112,כן,136
70112,ל,199
70112,מחל,58
70112,פ,1
70112,ק,2
70112,שס,172
70112,ד,3
70112,ז,1
70112,כץ,2
70112,קנ,8
70112,מרצ,1
70112,עם,1
70112,פכ,1
70112,פץ,1
70112,רק,1
70123,אמת,209
70123,ג,47
70123,זה,77
70123,זך,42
70123,טב,50
70123,יש,5
70123,כ,6
70123,כן,312
70123,ל,493
70123,מחל,195
70123,מרצ,19
70123,עם,2
70123,פכ,3
70123,ק,3
70123,רק,10
70123,שס,471
70123,פץ,1
70123,ף,6
70123,קנ,15
70123,חץ,12
70123,פז,3
70123,קז,5
70123,קפ,2
70123,נץ,1
70123,ו,2
70123,ד,1
70123,פ,1
70122,אמת,29
70122,ג,3
70122,זה,2
70122,זך,8
70122,חץ,3
70122,טב,6
70122,כן,49
70122,ל,47
70122,מחל,25
70122,מרצ,5
70122,עם,1
70122,ק,3
70122,קז,1
70122,קנ,3
70122,רק,1
70122,שס,42
70231,אמת,313
70231,ג,81
70231,ד,2
70231,זה,12
70231,זך,97
70231,חץ,12
70231,טב,220
70231,כן,614
70231,ל,786
