semel,ballot,valid,stat22
967,1,124,
967,2,247,
967,3,218,
472,1,292,4720001
472,2,382,4720001
472,3,340,4720001
472,4,458,4720001
472,5,264,4720001
472,6,377,4720001
472,7,319,4720001
472,8,250,4720001
473,1,544,4730001
473,2,470,4730001
473,3,461,4730001
473,4,429,4730001
473,5,503,4730001
473,6,503,4730001
473,7,483,4730001
473,8,466,4730001
473,9,446,4730001
473,10,477,4730001
473,11,402,4730001
473,12,420,4730001
473,13,433,4730001
958,1,40,
968,1,370,
968,2,324,
968,3,317,
968,4,317,
1342,1,331,13420001
966,1.1,259,
966,1.2,241,
966,1.3,270,
966,1.4,271,
966,1.5,216,
966,1.6,246,
961,1,191,
961,2,337,
961,3,327,
961,4,366,
961,5,337,
961,6,340,
961,7,268,
1375,1,271,13750001
1375,2,303,13750001
652,1,335,6520001
652,2,355,6520001
652,3,461,6520001
1275,1,233,12750001
679,1,413,6790001
1115,1,246,11150001
819,1,484,8190001
175,1,296,1750001
175,2,437,1750001
2052,1,330,20520001
1070,1,445,10700001
1220,1,159,12200001
182,1,529,1820001
182,2,431,1820004
182,3,538,1820004
182,5,438,1820004
182,6,483,1820009
182,8,364,1820004
182,9.1,499,1820004
182,9.2,485,1820004
182,9.3,496,1820004
182,9.4,501,1820004
182,9.5,467,1820004
182,9.6,485,1820004
182,9.7,496,1820004
182,10,467,1820004
182,12,485,1820004
182,13,378,1820004
1081,1,193,10810001
783,1,349,7830001
400,1,401,4000001
400,2,384,4000001
4011,1,311,40110001
3793,1,407,37930001
3793,2,474,37930001
1311,1,157,13110001
3759,1,191,37590001
113,1,183,1130001
1068,1,195,10680001
1123,1,408,11230001
446,1,297,4460001
446,2,317,4460001
4010,1,89,40100001
1046,1,185,10460001
2710,1,431,27100015
2710,2,491,27100014
2710,3,422,27100012
2710,4,500,27100012
2710,5,476,27100012
2710,6,453,27100012
2710,7,368,27100014
2710,8,344,27100015
2710,9,422,27100011
2710,10,441,27100032
2710,11,435,27100035
2710,12,332,27100021
2710,14,375,27100041
2710,16,332,27100034
2710,17,321,27100034
2710,18,469,27100034
2710,19,486,27100034
2710,20,432,27100033
2710,21,477,27100037
2710,22,354,27100033
2710,23,451,27100015
2710,24,439,27100034
2710,25,404,27100033
2710,26,433,27100042
2710,27,270,27100021
