stat08,semel,sa,eligible,voted,valid,disq,n_ballots,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס
74000231,7400,231,5519,3224,3177,47,9,161,1,46,653,1,7,1,20,6,70,3,0,2,614,505,664,24,6,0,1,0,1,2,0,0,0,0,3,5,14,0,5,5,357
74000232,7400,232,6009,3067,3017,50,10,256,2,97,14,1,11,1,26,6,106,1,0,2,714,487,971,50,3,0,0,0,1,5,0,0,0,3,3,2,15,0,2,12,226
74000241,7400,241,6283,3657,3603,54,11,326,0,175,31,2,11,5,28,4,131,0,2,2,860,597,1005,54,5,0,1,0,0,9,0,1,3,0,5,2,15,0,2,24,303
74000311,7400,311,3136,1444,1401,43,5,106,0,44,10,0,3,4,13,4,56,3,0,0,347,242,438,12,7,0,0,0,1,1,0,1,4,0,0,1,1,0,1,5,97
74000242,7400,242,3697,2017,1983,34,6,147,0,50,7,0,3,2,10,4,61,0,0,0,446,308,607,15,4,0,1,0,0,5,0,0,1,2,2,4,2,1,1,9,291
74000322,7400,322,1112,498,476,22,2,52,0,12,1,0,0,1,3,2,16,1,1,3,101,95,136,5,0,0,0,0,0,1,0,0,2,0,0,1,3,1,1,4,34
74000321,7400,321,3570,1472,1428,44,7,92,0,31,14,0,9,1,19,4,43,0,1,0,293,343,436,16,22,1,0,1,0,1,0,0,0,1,1,1,4,0,1,2,91
74000324,7400,324,532,229,223,6,1,19,0,6,0,0,1,0,1,0,10,0,0,0,46,41,82,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8
74000312,7400,312,5342,2738,2700,38,9,187,0,105,29,0,11,2,26,8,82,0,0,3,703,540,714,25,15,0,0,2,0,4,0,2,1,3,4,2,13,0,0,9,210
74000351,7400,351,8696,4844,4782,62,14,295,1,273,234,2,17,2,47,13,240,0,0,3,761,524,1350,42,21,1,0,1,3,7,0,0,0,5,0,3,17,1,0,14,905
74000341,7400,341,13491,6963,6849,114,24,713,4,231,48,5,29,8,58,21,261,3,2,2,1731,1110,2012,121,36,1,0,1,0,6,0,2,0,2,6,7,26,1,5,21,376
74000354,7400,354,1647,921,900,21,3,80,0,36,5,2,2,2,6,3,18,1,1,0,224,139,273,10,7,0,1,0,0,2,0,0,0,1,0,2,4,1,1,3,76
74000313,7400,313,4714,3011,2973,38,8,250,1,85,21,1,15,3,15,14,86,0,1,1,934,429,859,61,4,0,0,0,2,8,0,0,0,0,1,4,10,0,0,18,150
74000352,7400,352,5121,3101,3070,31,9,165,1,107,30,0,5,1,14,7,99,0,0,2,538,394,901,20,2,0,0,0,0,3,0,0,1,0,3,0,7,1,1,4,764
74000114,7400,114,4239,3062,3010,52,7,158,0,172,10,1,14,4,7,3,189,0,0,2,731,563,796,38,28,0,1,0,0,5,0,0,0,0,7,4,6,0,2,14,255
74000112,7400,112,2791,1727,1704,23,5,159,1,87,10,0,7,0,12,5,57,0,0,1,337,138,614,15,1,0,1,0,0,7,0,0,0,1,2,0,5,1,0,3,240
74000113,7400,113,3549,1848,1811,37,6,92,0,207,5,1,4,0,9,3,58,1,1,0,270,155,642,13,6,2,0,0,5,9,0,0,0,0,1,2,3,1,0,5,316
74000432,7400,432,2086,968,946,22,4,25,0,37,4,1,1,0,1,3,22,0,0,1,158,222,287,6,1,0,0,0,3,3,0,1,2,1,1,1,3,1,0,2,159
74000431,7400,431,1486,650,626,24,2,28,0,58,8,0,0,0,2,1,8,0,1,1,74,94,196,3,0,0,0,1,1,3,0,0,0,1,1,0,3,0,1,1,140
74000123,7400,123,516,271,268,3,1,8,0,7,0,0,0,0,2,0,7,0,0,1,32,22,94,3,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,85
