stat08,semel,sa,eligible,voted,valid,disq,n_ballots,אמת,אר,ב,ג,ד,ה,ו,זך,חי,ט,ים,ינ,יק,כן,ל,מחל,מרצ,נ,נפ,נץ,נר,עם,פ,פח,פי,פק,ץ,צי,ק,קנ,קפ,קץ,רק,שס
4720001,472,1,3476,1553,1503,50,6,26,0,1,1,591,0,79,1,0,5,1,0,2,155,8,21,25,2,0,3,0,551,1,0,0,1,3,2,1,7,3,0,1,12
4730002,473,2,7147,4203,4111,92,11,309,1,1,3,439,1,1592,5,0,5,2,0,0,292,158,295,61,0,2,2,2,789,0,0,0,4,2,3,6,3,2,1,2,129
6520001,652,1,1340,695,691,4,3,5,0,0,2,165,1,47,0,0,5,0,1,0,5,0,3,2,0,0,1,0,438,7,0,0,1,0,1,0,1,0,1,0,5
12750001,1275,1,170,133,133,0,1,22,0,0,0,0,7,0,0,0,0,0,0,0,68,7,15,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6790001,679,1,430,335,335,0,1,30,0,1,1,0,16,1,3,0,3,1,0,2,142,15,92,12,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,9
11150001,1115,1,314,205,204,1,1,70,0,3,4,0,0,0,0,1,3,0,0,0,4,14,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
8190001,819,1,533,405,403,2,1,95,0,5,0,0,3,2,2,5,1,0,0,0,171,25,58,29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3
1750001,175,1,884,675,671,4,2,210,1,11,1,0,14,1,0,2,6,0,0,1,253,19,87,44,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,7,3
20520001,2052,1,374,263,261,2,1,22,0,9,0,0,0,0,0,0,33,0,0,0,21,39,116,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,17
10700001,1070,1,352,248,243,5,1,21,1,9,1,0,11,2,1,2,3,0,0,0,46,20,91,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,25
12200001,1220,1,140,110,110,0,1,21,0,2,0,0,9,6,0,1,4,0,0,0,28,2,11,21,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1
1820001,182,1,7508,5352,5319,33,13,998,1,124,38,0,50,16,31,12,73,0,0,3,2108,263,1096,263,0,1,0,0,2,6,0,0,1,3,5,1,26,1,0,24,173
10810001,1081,1,240,181,176,5,1,111,0,2,0,0,0,0,0,0,0,0,0,0,11,12,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20
7830001,783,1,447,296,294,2,1,46,0,1,0,0,8,2,0,2,4,0,0,0,55,36,109,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21
4000001,400,1,329,264,264,0,1,3,0,65,7,0,0,0,0,0,80,0,0,0,3,2,37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65
40110001,4011,1,283,203,201,2,1,2,0,41,0,0,3,0,0,0,83,0,0,0,2,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
37930001,3793,1,510,449,443,6,1,1,0,52,1,0,0,0,0,0,259,0,0,0,2,3,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69
13110001,1311,1,143,93,89,4,1,3,0,0,0,1,3,0,0,0,0,0,1,0,5,65,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
37590001,3759,1,155,103,103,0,1,1,0,7,0,0,1,0,2,0,12,0,0,0,28,10,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1130001,113,1,196,154,153,1,1,6,0,4,6,0,0,0,0,0,1,0,0,0,5,10,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68
10680001,1068,1,230,103,102,1,1,20,0,0,0,1,0,0,2,0,0,0,0,0,23,11,3,33,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1
11230001,1123,1,371,271,271,0,1,2,0,20,0,0,17,0,0,0,16,0,0,0,13,10,138,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,52
4460001,446,1,600,467,466,1,1,88,0,11,2,0,9,1,3,0,2,0,0,0,220,15,71,30,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,6,3
40100001,4010,1,84,58,58,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,27,8,10,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
10460001,1046,1,222,154,153,1,1,40,0,1,0,0,0,2,0,1,0,0,0,0,41,16,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
27100013,2710,13,3999,2449,2438,11,6,3,0,0,1,528,0,1461,0,1,0,0,0,0,1,2,1,8,0,2,1,0,416,3,0,0,0,1,0,1,0,2,2,1,3
27100012,2710,12,3150,1612,1592,20,5,2,0,0,0,405,1,922,0,0,0,0,0,0,2,1,2,5,0,0,0,0,239,0,0,1,0,0,1,6,1,0,1,0,3
27100015,2710,15,1426,802,797,5,3,1,0,0,0,147,1,468,0,0,0,0,0,1,1,0,0,4,0,0,0,0,166,0,0,0,0,0,0,4,3,0,0,0,1
27100011,2710,11,1423,567,567,0,2,1,0,0,1,128,0,342,0,0,0,0,0,0,1,1,1,4,0,1,0,0,78,0,0,1,0,0,1,3,0,1,1,0,2
27100031,2710,31,2240,1313,1296,17,4,4,0,0,0,380,1,576,0,0,1,0,0,0,7,0,0,10,0,0,1,0,303,0,0,0,1,2,0,3,1,1,1,0,4
27100021,2710,21,2992,1558,1546,12,5,7,0,0,0,444,2,812,0,2,3,2,0,0,1,1,3,6,0,0,1,0,250,0,0,0,0,0,0,5,0,0,0,0,7
27100014,2710,14,2867,1899,1879,20,5,8,0,0,0,356,1,1110,0,0,1,1,1,0,7,2,3,2,0,0,0,0,369,1,0,0,0,0,0,3,1,2,1,2,8
27100034,2710,34,3262,1955,1940,15,5,1,0,0,0,422,0,1101,0,0,2,0,0,0,1,0,1,9,2,0,0,0,380,4,0,0,1,0,0,7,2,1,0,0,6
27100033,2710,33,3479,2505,2488,17,5,1,0,0,0,711,0,1239,0,0,1,0,0,0,10,0,1,3,0,0,0,1,505,0,0,0,0,0,1,8,0,0,0,0,7
20240001,2024,1,499,298,295,3,1,18,0,0,0,96,0,5,0,0,2,0,0,0,1,0,1,14,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0
13580001,1358,1,423,211,199,12,1,3,0,0,1,2,0,1,0,0,0,0,0,1,0,2,4,8,0,0,0,1,170,1,0,1,0,0,0,0,0,4,0,0,0
11080001,1108,1,262,148,147,1,1,3,0,1,0,0,0,0,0,1,0,0,1,0,23,60,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14
6800001,680,1,346,251,247,4,1,78,0,0,1,0,4,2,2,0,1,0,0,0,104,7,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
310002,31,2,6111,3228,3160,68,11,253,1,76,62,4,55,3,10,22,114,1,0,4,347,719,935,29,5,1,0,0,1,1,0,0,3,2,4,4,10,0,5,4,485
310003,31,3,2330,1204,1179,25,4,93,0,55,24,0,7,0,3,3,45,0,0,1,135,205,399,8,0,1,0,1,1,0,0,0,0,1,4,2,1,0,2,1,187
310006,31,6,2706,1747,1735,12,4,56,0,52,321,0,9,0,3,2,57,0,0,0,98,221,324,10,3,0,0,1,0,0,0,0,0,0,1,0,5,0,0,2,570
310007,31,7,5606,3675,3633,42,9,155,1,88,871,0,27,0,5,7,58,2,2,1,302,511,781,23,6,3,0,0,1,0,0,1,0,0,3,2,3,0,3,7,770
310004,31,4,561,323,320,3,1,35,0,28,2,1,4,0,0,0,18,0,0,0,33,23,97,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76
12940001,1294,1,153,100,100,0,1,0,0,0,26,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
670001,67,1,407,283,281,2,1,82,0,1,0,1,3,1,0,0,0,0,0,0,133,11,20,24,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1
24000004,2400,4,3703,1808,1760,48,6,83,0,26,16,1,3,3,8,6,20,1,2,1,269,233,581,12,1,0,0,1,2,0,0,0,2,1,8,4,6,3,0,7,460
24000003,2400,3,5481,2964,2884,80,9,218,1,41,28,1,9,0,10,7,43,0,2,2,542,332,934,29,0,0,1,0,1,2,0,1,1,0,5,0,13,2,2,7,650
24000009,2400,9,2687,1689,1670,19,5,208,1,18,4,0,6,4,10,4,23,0,0,3,541,123,462,32,0,0,0,0,1,0,0,0,2,0,5,0,6,0,1,8,208
24000005,2400,5,1047,529,515,14,2,30,0,67,6,0,0,2,4,0,11,0,0,1,61,51,129,5,0,0,1,1,0,0,0,0,0,1,0,1,3,0,1,0,140
24000008,2400,8,3641,2039,1984,55,6,75,1,181,33,0,6,1,8,5,27,1,0,0,272,177,563,6,3,0,0,0,1,3,0,1,0,1,5,3,9,1,1,5,595
24000012,2400,12,2604,1438,1416,22,4,137,1,21,11,0,2,1,4,5,31,0,0,0,287,116,486,15,1,0,0,2,1,0,0,1,0,0,4,0,3,0,1,2,284
24000007,2400,7,731,361,353,8,1,24,0,3,3,2,0,2,1,1,5,0,0,0,60,49,105,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,92
24000010,2400,10,3298,2410,2394,16,5,371,3,27,5,0,12,9,10,8,25,0,0,0,902,129,675,73,0,0,0,1,0,0,0,0,0,1,5,2,6,0,0,12,118
24000001,2400,1,1072,686,681,5,2,40,0,7,8,0,4,1,1,5,23,0,0,1,192,58,246,7,0,0,0,0,0,7,0,0,0,0,1,0,0,1,0,1,78
24000013,2400,13,441,310,306,4,1,29,0,17,3,0,1,1,5,1,4,0,0,0,42,15,113,2,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,68
10200003,1020,3,6061,2883,2827,56,9,83,0,143,29,6,5,2,21,5,46,1,0,0,362,464,992,4,1,2,0,1,2,1,0,2,3,2,3,4,10,1,2,2,628
10200002,1020,2,1256,468,457,11,2,13,1,13,2,1,0,0,1,1,12,0,0,0,57,103,175,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,2,67
10200005,1020,5,3950,2271,2235,36,6,46,0,26,6,1,2,1,5,1,27,0,2,2,361,907,705,18,4,0,0,1,0,0,0,0,2,0,2,1,12,0,2,4,97
10200004,1020,4,1707,1005,987,18,3,41,1,14,3,1,2,1,1,0,8,0,3,0,173,334,351,6,2,0,0,0,0,1,0,1,0,0,0,2,4,0,1,3,34
10200001,1020,1,730,409,407,2,1,20,0,7,1,0,0,0,10,3,5,0,1,0,94,81,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
7800001,780,1,604,445,442,3,2,60,0,7,1,0,6,3,2,1,19,0,0,0,97,25,127,14,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,72
20120001,2012,1,347,244,244,0,1,58,0,3,2,0,4,0,0,0,0,0,0,0,112,6,29,25,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1
40130001,4013,1,177,122,121,1,1,15,0,11,0,0,3,0,3,1,0,0,0,0,42,11,27,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
4030001,403,1,411,247,246,1,1,96,0,0,2,0,15,4,1,0,0,0,0,0,81,9,12,18,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,2,0
37600001,3760,1,4212,3164,3147,17,7,304,0,133,13,0,29,3,11,6,102,0,0,2,1037,242,1089,58,0,1,0,0,0,3,0,0,0,0,7,0,20,0,0,32,55
2780001,278,1,324,212,211,1,1,87,0,0,0,0,2,1,4,0,0,0,0,1,74,7,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
5650002,565,2,5208,3198,3141,57,8,392,0,56,27,0,12,2,26,13,39,2,0,8,1006,419,828,58,5,0,0,3,2,3,0,0,0,0,2,2,16,0,0,14,206
5650001,565,1,1007,710,705,5,2,54,1,10,5,0,1,1,1,5,12,0,0,1,229,46,258,12,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,62
5650003,565,3,2223,1385,1360,25,4,162,0,30,9,1,5,2,4,5,20,1,0,1,416,187,381,20,3,0,0,0,0,0,0,0,0,0,1,0,5,0,0,3,104
11570001,1157,1,182,146,145,1,1,37,0,1,2,0,1,0,2,0,1,0,0,0,63,6,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
8210001,821,1,339,242,239,3,1,5,0,15,5,0,0,0,0,1,3,0,0,0,17,11,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
13300001,1330,1,896,682,678,4,2,100,0,8,1,0,2,1,1,0,10,0,0,0,256,78,173,26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,11
7850001,785,1,454,333,329,4,1,16,0,17,8,0,0,0,1,0,28,0,0,0,28,21,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
8500001,850,1,600,403,402,1,2,69,0,3,0,0,0,0,5,0,9,0,0,0,152,37,96,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,20
8040001,804,1,750,511,507,4,2,36,0,7,1,0,0,0,2,0,6,0,0,0,39,18,143,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,252
7970001,797,1,883,677,676,1,2,3,0,139,18,0,3,0,1,0,20,0,0,0,16,10,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
3380001,338,1,136,18,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7160001,716,1,314,245,243,2,1,99,0,2,0,0,5,2,0,0,4,0,0,0,87,7,9,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1
770001,77,1,792,536,534,2,2,189,0,25,4,0,3,0,3,1,4,0,0,1,196,19,38,28,0,1,0,0,0,3,0,1,0,0,0,2,7,1,0,4,4
2940001,294,1,719,555,550,5,2,95,0,0,2,0,11,4,0,1,2,0,0,1,146,44,54,182,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3
11260001,1126,1,262,147,146,1,1,56,0,1,0,0,1,1,0,0,0,0,0,0,45,4,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
490001,49,1,384,257,256,1,1,33,0,2,0,0,4,0,1,1,2,1,0,0,90,20,85,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,5
26000021,2600,21,4423,1397,1371,26,8,89,0,15,11,3,17,7,12,1,32,0,0,1,429,215,313,25,1,0,0,1,5,1,0,2,0,1,2,2,12,0,0,7,167
26000031,2600,31,3510,1119,1102,17,7,94,0,14,6,3,16,7,5,2,14,0,0,0,353,221,240,19,1,0,1,0,2,0,0,0,0,2,1,2,10,0,0,1,88
26000014,2600,14,4958,1902,1880,22,8,97,0,18,5,2,12,10,7,2,39,0,0,4,620,269,538,24,2,0,0,0,6,2,0,1,2,0,5,2,15,1,0,7,190
26000016,2600,16,2151,483,475,8,4,52,0,4,5,2,7,4,0,1,9,0,0,0,150,57,121,23,1,0,0,0,1,1,0,1,0,0,2,2,3,0,0,1,28
26000015,2600,15,3235,1037,1025,12,6,68,2,16,10,1,11,6,3,1,37,0,0,0,277,158,284,10,0,0,0,0,3,2,0,0,1,1,5,3,10,0,0,0,116
26000023,2600,23,4986,2275,2250,25,9,157,0,90,13,2,8,9,15,2,101,2,0,4,777,399,471,41,0,1,0,0,0,4,0,0,0,0,5,2,14,0,0,3,130
26000024,2600,24,3452,1840,1825,15,5,176,1,31,7,0,14,8,14,4,12,0,0,1,790,225,398,48,0,0,0,0,4,2,0,0,0,0,4,3,11,0,1,6,65
26000025,2600,25,1299,545,539,6,2,35,0,17,2,1,3,0,4,0,13,1,0,0,188,87,129,5,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,2,47
26000022,2600,22,2636,1082,1063,19,5,94,0,17,5,0,3,5,2,3,20,0,0,3,327,201,268,18,0,0,0,2,1,0,0,0,0,0,2,0,7,0,0,2,83
26000012,2600,12,1180,587,580,7,2,57,0,8,2,0,5,1,3,2,7,0,0,0,230,70,151,7,0,0,0,1,0,1,0,0,0,0,3,0,9,0,0,3,20
26000034,2600,34,4835,1848,1824,24,8,205,2,29,4,3,6,1,12,6,27,0,0,3,675,234,467,30,0,0,0,0,1,1,0,0,0,0,1,1,17,0,0,10,89
26000033,2600,33,3711,1777,1758,19,6,151,0,23,6,0,8,7,4,0,28,1,0,2,693,235,456,24,4,1,2,0,1,1,0,1,0,0,2,0,9,0,0,10,89
26000035,2600,35,3619,1935,1918,17,6,149,0,19,8,1,8,9,7,2,23,1,0,1,733,280,486,16,1,0,0,0,5,1,0,0,0,1,1,0,8,1,1,7,149
37620001,3762,1,359,269,269,0,1,0,0,18,6,0,1,0,0,0,214,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14
370001,37,1,277,196,193,3,1,0,0,21,2,0,1,0,0,0,15,0,0,0,5,4,45,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,94
4780002,478,2,3411,1427,1402,25,5,10,0,0,4,347,0,601,0,1,0,3,1,0,19,1,3,26,2,0,1,0,357,8,0,1,2,2,1,6,2,2,0,0,2
4780003,478,3,3344,1339,1316,23,5,18,0,0,3,290,0,472,0,0,1,1,0,0,17,1,2,20,0,1,0,0,472,7,0,0,0,3,0,4,1,1,0,0,2
13590001,1359,1,187,64,62,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,17
11450001,1145,1,253,206,205,1,1,0,0,0,62,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,136
3300001,330,1,224,137,137,0,1,51,0,5,1,0,1,0,1,0,0,0,0,0,41,5,7,22,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
11820001,1182,1,570,423,423,0,1,127,0,2,0,0,16,4,1,0,5,0,0,0,160,8,33,57,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,4,0
35790001,3579,1,795,625,621,4,2,0,1,33,2,0,0,0,0,0,476,0,0,0,2,10,64,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,30
36040001,3604,1,1761,1457,1445,12,3,7,1,588,4,0,16,1,0,0,381,0,0,0,6,18,398,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,17
4290001,429,1,411,347,344,3,1,74,0,0,0,0,13,3,2,5,0,0,0,0,166,8,31,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2
40170001,4017,1,143,114,113,1,1,0,0,44,0,0,0,0,0,0,30,0,0,0,0,2,28,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
8680001,868,1,116,22,22,0,1,7,0,1,0,0,1,0,0,0,0,0,0,0,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2850001,285,1,500,350,346,4,1,153,0,1,1,0,12,0,1,1,8,0,0,0,119,10,11,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1
410001,41,1,2081,1467,1456,11,4,132,0,152,27,0,7,0,3,6,37,0,0,0,245,77,437,12,3,0,0,0,2,1,0,1,1,0,4,0,6,0,0,3,300
40020001,4002,1,229,148,148,0,1,18,0,8,1,0,3,0,0,0,9,0,0,2,49,28,17,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,2
7300001,730,1,374,229,227,2,1,13,0,5,1,0,1,0,1,0,5,0,0,0,23,17,118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,42
6820001,682,1,486,349,345,4,1,9,0,9,132,0,4,0,0,1,14,1,0,0,30,18,66,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,55
2040001,204,1,387,305,299,6,1,11,0,15,4,0,4,0,1,0,10,0,0,0,74,11,95,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,69
8410001,841,1,655,451,445,6,2,45,0,12,1,0,5,0,1,0,6,0,0,1,128,32,125,3,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,78
11250001,1125,1,224,157,157,0,1,39,0,1,0,0,4,2,1,0,0,0,0,0,72,9,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35560001,3556,1,118,94,92,2,1,38,0,1,0,0,1,0,0,0,2,0,0,1,32,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13090002,1309,2,2501,2072,2064,8,6,4,0,69,329,0,0,0,0,0,188,0,0,0,8,10,91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1364
13090001,1309,1,2469,2096,2081,15,5,3,0,83,701,0,0,0,0,0,200,0,0,0,8,7,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,939
13090005,1309,5,2067,1722,1717,5,4,0,0,33,601,0,0,0,0,0,120,0,0,0,1,4,42,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,912
13090004,1309,4,1259,1046,1040,6,2,1,0,53,463,1,1,0,0,0,100,0,0,0,3,4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,346
13090003,1309,3,1377,1076,1074,2,2,0,0,31,134,0,0,0,0,0,104,0,0,0,0,5,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,742
13090007,1309,7,2733,2249,2236,13,5,0,0,24,923,0,0,2,0,0,104,0,0,0,2,2,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1146
13090006,1309,6,1634,1339,1337,2,3,3,0,57,400,0,2,0,0,0,135,0,0,0,1,6,70,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,661
36180001,3618,1,841,725,723,2,2,5,0,147,1,0,9,0,0,0,272,0,0,0,3,20,249,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14
37500001,3750,1,4733,3502,3480,22,8,284,0,38,13,0,30,0,9,10,78,0,0,1,1191,362,1307,39,0,0,1,0,1,1,0,1,0,0,11,0,11,2,0,19,71
6030001,603,1,250,176,176,0,1,45,0,4,0,0,0,0,0,2,0,0,0,0,12,11,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,67
35600001,3560,1,2194,1825,1819,6,3,3,0,775,7,0,4,1,3,0,443,0,0,0,20,48,471,0,0,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,36
40030001,4003,1,250,167,163,4,1,39,0,0,0,0,5,1,1,0,0,0,0,0,73,12,9,17,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0
7720001,772,1,599,417,413,4,1,54,0,4,2,0,4,0,7,0,2,0,0,0,135,20,133,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,43
10640001,1064,1,424,299,297,2,1,51,1,2,4,0,39,5,3,1,11,0,0,0,104,13,23,25,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,9
12530001,1253,1,226,134,133,1,1,29,0,6,0,0,3,1,0,0,3,0,0,0,34,22,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
230001,23,1,258,192,192,0,1,1,0,16,0,0,0,0,1,0,97,0,0,0,29,11,27,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,6
40120001,4012,1,311,233,232,1,1,31,0,3,1,6,0,1,0,4,0,0,0,0,90,36,47,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3
37540001,3754,1,151,88,88,0,1,0,0,4,27,0,0,0,0,0,29,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
5290002,529,2,6843,4309,4242,67,10,164,0,1,4,768,1,1709,1,31,4,6,0,0,217,9,25,58,1,0,2,1,1200,1,0,1,2,10,0,6,6,3,3,1,7
43010001,4301,1,240,148,148,0,1,28,0,5,0,0,1,0,1,1,2,0,0,0,39,28,19,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
1760001,176,1,1011,688,678,10,2,353,0,2,0,0,15,2,2,1,5,0,0,1,173,31,26,43,0,0,1,0,0,1,0,0,0,1,5,0,7,0,0,8,1
3130001,313,1,396,281,280,1,1,135,0,1,0,0,8,1,0,0,2,0,0,1,94,7,10,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2
36500001,3650,1,4928,3823,3811,12,8,13,0,845,16,1,68,4,1,0,1085,2,0,1,45,109,1502,7,0,6,0,0,0,1,0,0,0,0,1,1,3,0,1,2,97
7010001,701,1,318,218,218,0,1,50,0,3,0,0,2,1,4,0,8,0,0,0,78,23,35,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5
35980001,3598,1,139,84,82,2,1,4,0,0,0,0,2,0,1,0,1,0,0,0,27,9,32,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
7140001,714,1,338,227,227,0,1,88,0,2,0,0,2,2,0,2,2,0,0,0,76,8,10,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
35700003,3570,3,3596,2385,2343,42,6,40,0,27,2,1,6,1,2,0,123,0,0,1,196,743,1067,14,2,0,0,0,0,3,0,0,0,0,2,0,19,0,0,11,83
35700002,3570,2,3684,2405,2365,40,6,63,0,13,5,0,6,2,7,4,102,1,1,2,283,658,1087,8,0,0,0,1,0,3,0,0,1,2,4,3,23,0,0,10,76
35700001,3570,1,1746,1062,1045,17,3,19,1,7,5,0,1,1,4,0,40,0,1,0,104,302,488,8,0,1,0,2,0,0,0,0,0,1,0,2,6,0,2,3,47
35700004,3570,4,3113,2043,1998,45,5,23,0,24,6,0,4,4,6,1,86,0,0,3,176,667,916,5,4,0,0,2,0,1,0,0,0,0,1,2,14,0,0,8,45
35700005,3570,5,1141,777,769,8,2,16,0,15,3,0,2,0,1,0,71,0,0,1,61,289,288,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,15
710001,71,1,214,149,149,0,1,53,0,2,0,0,0,0,2,0,2,0,0,0,21,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
700432,70,432,14792,9329,9231,98,24,928,2,161,62,2,29,4,50,6,167,0,1,3,2458,1507,2772,156,6,0,3,1,1,1,0,0,0,1,10,6,32,1,8,25,828
700244,70,244,3149,1796,1776,20,5,227,0,45,37,2,7,1,25,7,58,0,0,2,477,234,467,46,1,1,0,0,1,0,0,0,0,0,3,0,7,1,0,4,123
700122,70,122,2438,1175,1132,43,4,66,0,17,17,0,3,1,11,1,14,0,0,2,161,319,287,11,2,2,1,2,1,0,0,0,0,0,1,5,7,0,2,3,196
700126,70,126,2685,1193,1166,27,5,42,0,14,20,2,1,0,6,2,16,1,4,0,167,376,267,15,5,0,0,0,3,3,0,1,0,2,3,2,6,1,1,7,199
700123,70,123,4829,2547,2493,54,8,134,0,34,25,2,10,3,13,5,40,1,0,3,411,905,557,28,4,0,0,1,0,2,0,1,1,0,7,3,11,0,7,10,275
700125,70,125,1624,761,735,26,3,30,0,7,11,1,0,0,11,0,6,0,1,1,108,263,123,5,5,0,1,1,0,1,0,0,0,0,2,1,4,0,0,3,150
700133,70,133,4406,2125,2076,49,8,50,1,46,31,4,1,2,10,4,32,1,1,1,274,740,493,11,5,0,2,0,1,1,0,0,1,0,6,2,6,3,4,3,340
700132,70,132,2338,916,897,19,4,23,0,13,22,3,5,4,5,0,6,1,0,0,129,291,211,1,2,1,2,1,1,3,0,2,1,0,0,3,4,0,2,0,161
