stat95,code,votes
46001,מרצ,22
46001,נ,2
46001,נץ,26
46001,עם,1
46001,ק,1
46001,קנ,22
46001,שס,326
46001,ט,1
46001,קץ,1
46001,רק,3
46001,כן,1
47001,אמת,361
47001,ב,70
47001,יש,235
47001,כן,5
47001,ל,30
47001,ם,8
47001,מחל,306
47001,מרצ,96
47001,נ,9
47001,נץ,8
47001,קנ,24
47001,רק,9
47001,שס,5
47001,ו,2
47001,פה,1
47001,ג,1
47001,זנ,1
48001,אמת,59
48001,ב,14
48001,ג,4
48001,ט,25
48001,ל,35
48001,ם,10
48001,מחל,277
48001,מרצ,19
48001,נ,1
48001,נץ,14
48001,קנ,11
48001,רק,3
48001,שס,110
48001,יש,32
48001,כן,3
49001,אמת,41
49001,ב,2
49001,ד,1
49001,זנ,1
49001,יש,46
49001,כן,2
49001,ל,18
49001,ם,1
49001,מחל,88
49001,מרצ,13
49001,נ,2
49001,נץ,2
49001,צ,1
49001,קנ,8
49001,רק,3
49001,שס,8
50001,אמת,275
50001,ב,86
50001,ג,5
50001,ו,1
50001,יש,185
50001,כן,11
50001,ל,12
50001,ם,26
50001,מחל,333
50001,מרצ,115
50001,נ,15
50001,קנ,17
50001,רק,12
50001,שס,159
50001,זנ,1
50001,נץ,7
50001,עם,2
50001,צף,1
50001,קך,1
52001,אמת,25
52001,ב,1
52001,ג,24
52001,זנ,1
52001,יש,1
52001,ל,2
52001,ם,3
52001,מחל,30
52001,מרצ,1
52001,נץ,1
52001,עם,1
52001,שס,65
53001,אמת,328
53001,ב,177
53001,ד,2
53001,ו,3
53001,זנ,3
53001,יש,278
53001,כן,68
53001,ל,82
53001,ם,35
53001,מחל,774
53001,מרצ,64
53001,נ,9
53001,פה,3
53001,צ,2
53001,קך,2
53001,קנ,32
53001,רק,6
53001,שס,252
53001,ג,9
53001,עם,1
53001,קץ,2
53001,נץ,14
55001,אמת,17
55001,ב,6
55001,ג,5
55001,יש,10
55001,ל,7
55001,ם,15
55001,מחל,115
55001,מרצ,2
55001,נץ,1
55001,רק,1
55001,שס,14
57001,אמת,232
57001,ב,4
57001,ו,1
57001,יש,65
57001,ל,1
57001,ם,2
57001,מחל,39
57001,מרצ,35
57001,נ,4
57001,נץ,1
57001,פה,1
57001,צ,1
57001,קנ,7
57001,רק,2
57001,שס,5
58001,אמת,27
58001,ב,1
58001,יש,15
58001,ם,2
58001,מחל,35
58001,מרצ,2
58001,קנ,1
58001,רק,1
58001,שס,2
59001,ב,26
59001,ג,5
59001,כן,1
59001,ל,13
59001,מחל,16
59001,נץ,6
59001,קנ,1
59001,שס,35
62001,אמת,202
62001,ב,1
62001,ו,1
62001,יש,35
62001,כן,2
62001,ם,1
62001,מחל,17
62001,מרצ,41
62001,קנ,14
62001,רק,2
62001,שס,1
63001,אמת,75
63001,ב,7
63001,ג,1
63001,יש,39
63001,ל,15
63001,ם,5
63001,מחל,78
63001,מרצ,30
63001,נ,1
63001,נץ,4
63001,עם,1
63001,צ,3
63001,קנ,6
