stat08,semel,sa,eligible,voted,valid,n_ballots,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
37970007,3797,7,7005,6217,5946,11,3,4559,0,0,0,0,119,0,0,0,0,13,6,124,5,4,1,1,0,4,0,11,8,282,0,806
37970008,3797,8,3036,2745,2588,5,1,2050,0,0,1,0,9,0,0,0,0,1,1,14,0,0,0,1,0,1,0,1,1,80,0,427
37970002,3797,2,4677,4282,4017,8,0,3163,0,1,0,0,11,0,0,0,0,3,3,15,2,1,0,0,0,3,1,0,1,138,0,675
12000017,1200,17,2598,2024,2010,4,589,8,0,0,0,3,110,0,0,0,0,208,90,465,120,0,0,0,0,346,0,1,24,22,2,22
12000015,1200,15,6388,4840,4817,10,1423,38,2,0,0,0,299,0,0,0,0,450,128,1119,316,1,0,0,0,835,1,1,76,61,5,62
12000013,1200,13,2251,1803,1790,3,430,8,1,0,0,0,378,0,0,0,0,129,39,405,84,0,0,0,0,231,1,0,14,55,0,15
12000012,1200,12,4345,3416,3405,7,792,32,4,0,0,0,575,0,0,0,0,251,88,799,184,5,1,3,0,513,1,2,39,61,4,51
12000014,1200,14,1392,1059,1056,2,347,4,2,0,0,0,59,0,0,0,0,85,32,249,63,0,0,0,0,169,0,1,14,13,2,16
12000033,1200,33,3452,2849,2843,5,559,16,2,0,0,1,644,0,0,0,0,204,36,755,97,3,0,0,0,411,1,3,21,44,1,45
12000023,1200,23,4193,3397,3384,6,980,23,6,0,0,0,240,0,1,0,0,308,71,819,149,2,0,0,0,665,0,3,26,29,1,61
12000022,1200,22,5127,4259,4245,9,1199,20,1,0,0,0,288,1,0,0,0,442,111,1027,150,3,0,0,0,847,0,0,45,30,15,66
12000041,1200,41,11317,8977,8957,20,3353,54,11,0,0,0,685,0,0,0,0,594,113,1625,557,6,0,0,0,1697,1,2,96,66,3,94
12000024,1200,24,5341,4562,4544,8,1081,21,3,2,0,0,657,0,0,0,0,352,119,1158,129,5,0,1,0,894,0,3,21,55,2,41
12000042,1200,42,1844,1442,1438,3,551,5,1,0,0,0,128,0,0,0,0,69,6,297,86,0,0,0,0,256,0,2,19,14,0,4
12000021,1200,21,3156,2588,2571,5,620,20,2,0,0,0,191,0,0,0,0,300,85,684,59,2,0,0,0,496,0,1,28,27,2,54
12000034,1200,34,2401,2053,2046,4,501,4,0,0,0,0,341,0,0,0,0,131,29,543,55,1,0,0,0,377,0,1,14,32,2,15
