stat08,semel,sa,eligible,voted,valid,n_ballots,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
61000311,6100,311,1384,974,965,2,18,520,1,0,0,0,0,1,0,0,27,2,4,119,0,0,1,13,0,0,0,17,12,0,0,0,0,5,5,0,0,2,0,218
61000116,6100,116,709,490,486,1,21,120,0,0,0,0,3,3,0,0,20,2,6,70,1,1,0,10,0,0,0,24,5,0,0,0,0,2,9,0,0,2,0,187
61000422,6100,422,524,302,296,1,16,45,1,0,0,0,0,1,0,1,14,5,1,67,2,0,0,7,0,0,0,13,6,1,0,1,0,2,2,1,0,3,0,107
61000111,6100,111,1308,875,870,2,45,189,0,0,1,0,4,4,0,0,29,6,11,164,9,0,0,10,0,0,0,39,19,2,0,1,0,6,16,1,0,6,1,307
61000231,6100,231,5144,3903,3888,9,111,1627,1,1,2,0,1,6,0,1,453,2,11,252,38,0,0,94,0,0,1,113,60,0,0,0,2,53,24,1,0,17,6,1011
61000223,6100,223,3473,2741,2728,5,7,1716,1,0,0,0,0,0,0,0,52,0,2,51,3,0,0,28,0,0,0,8,44,0,0,0,1,3,3,0,1,3,0,805
61000312,6100,312,2285,1839,1827,4,1,1369,0,0,0,0,0,1,0,0,106,0,1,28,1,0,0,35,0,0,0,3,18,0,0,0,0,9,0,1,0,1,0,253
61000233,6100,233,1181,834,831,2,29,384,1,0,1,0,0,4,0,0,73,0,2,63,9,0,1,18,0,0,0,26,8,0,0,0,0,7,14,0,0,3,0,188
61000232,6100,232,1285,1001,997,2,28,557,0,0,0,0,0,2,0,0,108,0,2,54,7,0,0,22,0,0,0,28,23,0,0,0,0,8,4,0,0,3,2,149
61000323,6100,323,7610,5497,5475,13,4,4306,2,0,0,0,0,1,0,0,50,0,0,22,2,0,2,44,0,0,0,6,46,0,0,0,0,5,1,0,0,5,0,979
61000222,6100,222,4826,3994,3974,8,17,2508,0,0,0,0,1,1,0,2,91,2,8,85,6,0,0,51,1,0,0,23,62,0,0,0,0,14,6,0,0,3,0,1093
61000414,6100,414,4183,3601,3587,7,3,2561,0,0,0,0,1,1,0,0,31,0,0,18,1,0,0,29,0,0,0,5,27,0,0,0,0,3,1,0,0,1,1,904
61000411,6100,411,10377,8453,8418,17,38,5314,0,1,0,1,1,4,0,1,234,0,12,157,5,0,1,157,1,1,0,43,132,0,0,0,1,36,13,1,0,9,0,2255
